s_z,C_bar,coverage_deficit,S_analytical,S_numeric,derivative_abs_error,fine_asymptotic_deficit,coarse_asymptotic_coverage
0.001,0.9999999166666728,8.333332723875486e-08,0.0001666666414254503,0.00016666663049669236,1.0928757925758939e-11,8.333333333333333e-08,1772.4538509055158
0.01,0.9999916667291664,8.3332708336048e-06,0.0016666416668975614,0.0016666416635668921,3.330669290715904e-12,8.333333333333334e-06,177.2453850905516
0.05,0.9997917057233544,0.00020829427664559308,0.008330209030762979,0.008330209033680092,2.9171127319260748e-12,0.00020833333333333337,35.449077018110316
0.1,0.9991672912948235,0.0008327087051764881,0.01664168897363427,0.016641688960206125,1.3428144013394316e-11,0.0008333333333333335,17.724538509055158
0.25,0.9948159901782847,0.005184009821715296,0.041278212691505,0.04127821269794829,6.4432903457145585e-12,0.005208333333333333,7.0898154036220635
0.5,0.9795515487210231,0.020448451278976876,0.08027697181509463,0.08027697181445248,6.421529974431905e-13,0.020833333333333332,3.5449077018110318
1.0,0.9225620128255848,0.07743798717441519,0.14376122975417993,0.1437612297594537,5.273781411574419e-12,0.08333333333333333,1.7724538509055159
1.9357143275296236,0.7590121641245119,0.2409878358754881,0.18965181688020907,0.18965181687868868,1.5203949210729206e-12,0.31224916315028856,0.91565879618587
2.0,0.7468241328124269,0.2531758671875731,0.18947234582049227,0.18947234581290215,7.59012297457673e-12,0.3333333333333333,0.8862269254527579
4.0,0.44104069538121077,0.5589593046187893,0.10568126412311915,0.10568126412036082,2.7583352268933936e-12,1.3333333333333333,0.44311346272637897
8.0,0.2215567279473922,0.7784432720526078,0.027694576926527187,0.027694576923420474,3.106712803679912e-12,5.333333333333333,0.22155673136318949
