sigma,N,rule,window,MSE_mean,MSE_P05,MSE_P95,PSNR_mean,PSNR_P05,PSNR_P95,laplacian_variance_mean,laplacian_variance_P05,laplacian_variance_P95,dct_hf_energy_mean,dct_hf_energy_P05,dct_hf_energy_P95,selection_entropy_normalized_mean,selection_entropy_normalized_P05,selection_entropy_normalized_P95
0.01,1,maxfocus,3.0,9.997651534787683e-05,9.941647909799641e-05,0.000100610384324715,40.001053626702536,39.97357192073455,40.02541621845428,0.0023938844320099376,0.0023767466099364797,0.00240896219226414,0.000197920056236653,0.000196440279242035,0.00019933612370455999,0.0,0.0,0.0
0.01,1,maxfocus,7.0,9.997651534787683e-05,9.941647909799641e-05,0.000100610384324715,40.001053626702536,39.97357192073455,40.02541621845428,0.0023938844320099376,0.0023767466099364797,0.00240896219226414,0.000197920056236653,0.000196440279242035,0.00019933612370455999,0.0,0.0,0.0
0.01,1,mean,NA,9.997651534787683e-05,9.941647909799641e-05,0.000100610384324715,40.001053626702536,39.97357192073455,40.02541621845428,0.0023938844320099376,0.0023767466099364797,0.00240896219226414,0.000197920056236653,0.000196440279242035,0.00019933612370455999,,,
0.01,1,single,NA,9.997651534787683e-05,9.941647909799641e-05,0.000100610384324715,40.001053626702536,39.97357192073455,40.02541621845428,0.0023938844320099376,0.0023767466099364797,0.00240896219226414,0.000197920056236653,0.000196440279242035,0.00019933612370455999,,,
0.01,4,maxfocus,3.0,0.000141348076214002,0.00014072163985755999,0.000141999200377,38.4971205193157,38.477141020109535,38.51639112689529,0.0038449449999656466,0.003823277208795035,0.003865562693185345,0.000311971209909155,0.000309997537024435,0.00031366196772066496,0.9999512342146621,0.9998719022214548,0.999991831244731
0.01,4,maxfocus,7.0,0.00011671045841536198,0.000116027746211725,0.000117413168102945,39.32892707811308,39.302831934603425,39.35438143809711,0.0029861197581174,0.0029646571349284654,0.0030019110455956153,0.00024444304270454097,0.00024265910360194,0.00024587718731297,0.999779472799974,0.9993274428739374,0.9999721405507435
0.01,4,mean,NA,2.5006290304132002e-05,2.4861985937154433e-05,2.5154960766891382e-05,46.01953435208152,45.99376356521343,46.044641844565916,0.000900281975428218,0.0008954900470899901,0.000905073751480565,6.285316088259662e-05,6.240714360382469e-05,6.329674219451034e-05,,,
0.01,4,single,NA,0.00010005705051937558,9.954459498922427e-05,0.00010055486324202,39.99754754418835,39.97596920479145,40.01982317753594,0.002394636817698661,0.0023778657378509646,0.00241051105976389,0.00019797917096385598,0.00019666125297428,0.00019940410894935,,,
0.01,16,maxfocus,3.0,0.00018298410139806998,0.000182240510383285,0.00018375084677183,37.3758815126761,37.35770654287471,37.39355077054682,0.005270377095750847,0.00524498305902123,0.005300212563904145,0.0004163333300237721,0.000414412569651325,0.000418376802282685,0.9999066875393212,0.9998503996601183,0.9999494034458846
0.01,16,maxfocus,7.0,0.00013025854967879896,0.000129536202321515,0.00013093910273131,38.851966742352836,38.82930643826018,38.87608843639695,0.0034314158848260273,0.0034110266478343653,0.00345690720841951,0.000278623728210417,0.00027706254389842,0.00028054625193573996,0.9996231047448437,0.9993889181760486,0.9998286004867825
0.01,16,mean,NA,6.245976804982243e-06,6.216044935848191e-06,6.277724287597122e-06,52.04401495781158,52.02197762494612,52.064858554070355,0.000527172447198217,0.000525582170184285,0.000528899109323405,2.911139739027836e-05,2.8956821051328863e-05,2.92818080223371e-05,,,
0.01,16,single,NA,9.997139825851721e-05,9.943534773105547e-05,0.00010051645502507499,40.001269292217984,39.97762836377165,40.024592042751415,0.0023945342771213647,0.00237781727272715,0.00241053457546849,0.00019794644386122,0.00019641590105746,0.00019942439427924,,,
0.01,64,maxfocus,3.0,0.000227358268707814,0.00022668197224441001,0.0002283423769112,36.43290271193586,36.41413482798835,36.44583017520601,0.00675335193208502,0.0067198691167033395,0.00678715674950805,0.0005260709423461439,0.000522894838483935,0.0005286336843799651,0.9997937429869591,0.9997324842427845,0.999844949405057
0.01,64,maxfocus,7.0,0.000141843438718371,0.000141076743022535,0.00014273566286923,38.48193350507674,38.454675039640776,38.50544575256921,0.003800431047044385,0.0037774812417355947,0.0038243330588966697,0.00030700257665933895,0.000305036515033115,0.00030917470260708997,0.9992176424147238,0.9990206552047232,0.9994144109360303
0.01,64,mean,NA,1.5635840159215054e-06,1.5534893998006594e-06,1.5715059327926533e-06,58.05881590482328,58.036839758033324,58.08691706793083,0.00043370034261084803,0.00043280066159686,0.000434334800298075,2.065953582600172e-05,2.0577022230453162e-05,2.0729660270649368e-05,,,
