sigma,N,rule,window,replicate,seed,MSE,PSNR,laplacian_variance,dct_hf_energy,selection_entropy,selection_entropy_normalized,clipping_fraction
0.0,1,single,NA,0,1227128981,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,0,1227128981,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,0,1227128981,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,0,1227128981,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,1,1044881957,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,1,1044881957,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,1,1044881957,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,1,1044881957,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,2,453003708,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,2,453003708,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,2,453003708,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,2,453003708,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,3,757887576,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,3,757887576,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,3,757887576,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,3,757887576,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,4,632476826,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,4,632476826,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,4,632476826,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,4,632476826,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,5,783972043,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,5,783972043,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,5,783972043,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,5,783972043,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,6,2095061945,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,6,2095061945,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,6,2095061945,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,6,2095061945,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,7,860007772,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,7,860007772,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,7,860007772,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,7,860007772,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,8,1183385962,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,8,1183385962,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,8,1183385962,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,8,1183385962,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,9,1081489009,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,9,1081489009,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,9,1081489009,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,9,1081489009,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,10,1580418984,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,10,1580418984,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,10,1580418984,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,10,1580418984,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,11,2083010956,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,11,2083010956,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,11,2083010956,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,11,2083010956,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,12,1012724122,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,12,1012724122,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,12,1012724122,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,12,1012724122,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,13,714149821,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,13,714149821,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,13,714149821,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,13,714149821,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,14,419307462,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,14,419307462,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,14,419307462,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,maxfocus,7,14,419307462,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
0.0,1,single,NA,15,170809709,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,mean,NA,15,170809709,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,NA,NA,0.0
0.0,1,maxfocus,3,15,170809709,0.0,inf,0.0004025932333717802,1.7851117491840634e-05,-0.0,0.0,0.0
