rule,window,sigma,log_log_slope_N_vs_MSE,mse_at_N1,mse_at_N128,relative_mse_change_N1_to_N128
maxfocus,3.0,0.0,,0.0,0.0,
maxfocus,3.0,0.01,0.18628777943547584,9.997651534787679e-05,0.000251239585921166,1.5129860252375922
maxfocus,3.0,0.02,0.18765134980103484,0.00040037204146747005,0.00101272339750132,1.5294558375989973
maxfocus,3.0,0.03,0.18811102088837803,0.0008997921815529989,0.002282921367830414,1.537165152835846
maxfocus,3.0,0.04,0.18819292026605364,0.0015996302263264612,0.004060871946774504,1.5386316662071746
maxfocus,7.0,0.0,,0.0,0.0,
maxfocus,7.0,0.01,0.07816874230043276,9.997651534787679e-05,0.000147289446252567,0.47324044791980246
maxfocus,7.0,0.02,0.07908378636586974,0.00040037204146747005,0.000592030856037751,0.47870179413077996
maxfocus,7.0,0.03,0.0794339792797668,0.0008997921815529989,0.001334479081127511,0.4830969956020988
maxfocus,7.0,0.04,0.07958026838725685,0.0015996302263264612,0.002374543116947258,0.4844325131317246
mean,NA,0.0,1.8567508543824143,0.0,5.607523121417982e-31,
mean,NA,0.01,-0.9999671897529492,9.997651534787679e-05,7.811686660728903e-07,-0.9921864783608956
mean,NA,0.02,-1.0000499135716119,0.00040037204146747005,3.124536950451414e-06,-0.9921959162308158
mean,NA,0.03,-1.0000883677715806,0.0008997921815529989,7.028207199881624e-06,-0.992189077273653
mean,NA,0.04,-1.0000712877951223,0.0015996302263264612,1.2498292931822602e-05,-0.9921867612113552
single,NA,0.0,,0.0,0.0,
single,NA,0.01,-4.079421969947127e-06,9.997651534787679e-05,0.00010001123365319937,0.00034726460711070455
single,NA,0.02,-0.00011595036444817745,0.00040037204146747005,0.000399976715250738,-0.0009873971601090735
single,NA,0.03,-5.9634225145054515e-05,0.0008997921815529989,0.000899867738783669,8.39718684147783e-05
single,NA,0.04,-3.895596409231473e-05,0.0015996302263264612,0.0015993284093505811,-0.0001886792153041249
