sigma,N,rule,window,MSE_mean,MSE_std,MSE_median,MSE_P05,MSE_P95,PSNR_mean,PSNR_std,PSNR_median,PSNR_P05,PSNR_P95,laplacian_variance_mean,laplacian_variance_std,laplacian_variance_median,laplacian_variance_P05,laplacian_variance_P95,dct_hf_energy_mean,dct_hf_energy_std,dct_hf_energy_median,dct_hf_energy_P05,dct_hf_energy_P95,selection_entropy_mean,selection_entropy_std,selection_entropy_median,selection_entropy_P05,selection_entropy_P95,selection_entropy_normalized_mean,selection_entropy_normalized_std,selection_entropy_normalized_median,selection_entropy_normalized_P05,selection_entropy_normalized_P95,clipping_fraction_mean,clipping_fraction_std,clipping_fraction_median,clipping_fraction_P05,clipping_fraction_P95
0.0,1,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,64,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,128,maxfocus,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004025932333716999,5.448320913670614e-20,0.0004025932333717,0.0004025932333717,0.0004025932333717,1.785111749184063e-05,3.405200571044134e-21,1.7851117491840634e-05,1.7851117491840634e-05,1.7851117491840634e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1,maxfocus,3.0,9.997651534787683e-05,3.95078387722222e-07,9.999251199941976e-05,9.941647909799641e-05,0.000100610384324715,40.001053626702536,0.017166230910388484,40.0003252165287,39.97357192073455,40.02541621845428,0.0023938844320099376,9.769714146072098e-06,0.00239315952067355,0.0023767466099364797,0.00240896219226414,0.000197920056236653,9.574062799791463e-07,0.0001979183138044,0.000196440279242035,0.00019933612370455999,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2,maxfocus,3.0,0.000120732554606152,3.669514907596616e-07,0.00012070497360465,0.00012016708141277,0.000121352888877835,39.181775952941706,0.0131971103168173,39.18274834601232,39.15949880583767,39.20214486769416,0.003130787985745347,1.3006280596016446e-05,0.003131245321302,0.003110870620325325,0.003151950074398285,0.000257645809619909,1.1410896938252866e-06,0.0002577880481091,0.00025571147805908,0.000259370479146915,0.6931225221610836,3.5224561691311816e-05,0.6931361354411543,0.6930496579560788,0.6931469697122742,0.9999644254502459,5.0818300469555636e-05,0.9999840652618941,0.9998593046230273,0.9999996958111107,0.0,0.0,0.0,0.0,0.0
