condition,window,delta_coarsest,worst_region_by_mse,worst_region_by_axial_error,plateau_mse,ramp_mse,hard_step_mse,protrusion_mse,plateau_axial_error,ramp_axial_error,hard_step_axial_error,protrusion_axial_error
H_LF,3,3.2,protrusion,hard_step,0.000406644376268,0.0014971239539368,0.0003566680258279,0.0043662674336686,2.00877503067042,1.0557786684937027,2.3687145945567485,0.0374320388812614
H_LF,7,3.2,protrusion,hard_step,0.0004059544194949,0.001494303545382,0.0003547207496857,0.0043662674336686,2.027547751499895,1.018611289082028,2.402294473072456,0.0374320388812614
H_LF,15,3.2,protrusion,hard_step,0.0004059333480963,0.0014936089134981,0.0003491508216812,0.0043662674336686,2.07815107413863,0.9958752235282488,2.628681302461468,0.0374320388812614
H_COARSE,3,3.2,protrusion,hard_step,0.0006704252951154,0.0016719487944664,0.0003632189052752,0.0043037240420802,2.0492921676593467,0.97787188226052,2.1089915388920266,0.0374320388812614
H_COARSE,7,3.2,protrusion,hard_step,0.0006699579265159,0.0016712483030741,0.0003544530406379,0.0043037240420802,2.0731585822651093,0.952506994528734,2.0944783751193525,0.0374320388812614
H_COARSE,15,3.2,protrusion,hard_step,0.0006698707907581,0.0016717815302823,0.0003533130906186,0.0043037240420802,2.1079179829475665,0.9403945717747502,2.313429518286055,0.0374320388812614
H_MIXED,3,3.2,protrusion,hard_step,0.000813415304835,0.0018165755554728,0.0004056160614228,0.0045422097008245,2.140636227508106,0.9797729852962546,2.424482404101979,0.0445892404770967
H_MIXED,7,3.2,protrusion,hard_step,0.0008147536230386,0.0018176047616603,0.0004052983171347,0.0045439706428115,2.175041920047548,0.960746146165792,2.431761993096944,0.0374320388812614
H_MIXED,15,3.2,protrusion,hard_step,0.0008164661144125,0.001819196960838,0.0004041942230846,0.0045439706428115,2.230537821971865,0.9582172144778368,2.4429502807324406,0.0374320388812614
H_FINE,3,3.2,protrusion,hard_step,0.0008597883596676,0.001982060750052,0.0006555377597029,0.0047255557771206,2.2885308609220187,1.0189228551840086,2.4019607685717315,0.0374320388812614
H_FINE,7,3.2,protrusion,hard_step,0.0008603255087276,0.0019828712316405,0.0006590518724008,0.0047255557771206,2.30422727760723,1.0001457020228774,2.427279404414215,0.0374320388812614
H_FINE,15,3.2,protrusion,hard_step,0.0008605920390963,0.0019839661425588,0.0006648572809468,0.0047255557771206,2.352029604906784,0.9955850735226396,2.448320186937619,0.0374320388812614
P_LF,3,3.2,protrusion,hard_step,0.0025061548348705,0.0022078278114443,0.0006155418892658,0.0043802470113351,2.076962925931826,0.9755508583722616,2.3390499619542218,0.0374320388812614
P_LF,7,3.2,protrusion,hard_step,0.0025083995335084,0.0022051196448448,0.0006186908861522,0.0043802470113351,2.108814062938231,0.9499551914374066,2.371898430576978,0.0374320388812614
P_LF,15,3.2,protrusion,hard_step,0.0025110692563236,0.0022053453719605,0.0006446690510887,0.0043802470113351,2.1529334826682147,0.937408616710116,2.384929999722454,0.0374320388812614
P_COARSE,3,3.2,protrusion,hard_step,0.0027362308043456,0.0029182294983155,0.0006526147916316,0.0049909538660278,2.2094924566385727,0.9919332153623666,2.597070970371832,0.0374320388812614
P_COARSE,7,3.2,protrusion,hard_step,0.002737116761559,0.0029197455211884,0.0006605464605022,0.0049909538660278,2.238911767520413,0.9712615655863954,2.5655065277471985,0.0374320388812614
P_COARSE,15,3.2,protrusion,hard_step,0.0027374851703933,0.0029259321038688,0.0006843785144606,0.0049909538660278,2.2987579140593124,0.9585160711751904,2.653325048999531,0.0374320388812614
P_MIXED,3,3.2,protrusion,plateau,0.0027695486994259,0.0033704232345238,0.0007564370418504,0.0047643865595004,2.6471042717415467,0.979781377310314,2.254581551864499,0.0408759407273707
P_MIXED,7,3.2,protrusion,plateau,0.0027697052369934,0.0033715043027375,0.0007560059511736,0.0047643865595004,2.636985005693444,0.9634584103092582,2.240578433156191,0.0408759407273707
P_MIXED,15,3.2,protrusion,plateau,0.0027699414576266,0.0033736084029901,0.0007543993140143,0.0047643865595004,2.6325880478309047,0.954438756505959,2.225735817012417,0.0408759407273707
P_FINE,3,3.2,protrusion,plateau,0.0027683094483462,0.0035961249540526,0.0009669914086843,0.0048131851183306,2.970535700487542,0.9841173599007064,2.379911863608439,0.0374320388812614
P_FINE,7,3.2,protrusion,plateau,0.0027683204974958,0.003596333176943,0.0009665420387329,0.0048131851183306,2.972249752226481,0.966910370323727,2.425880186213111,0.0374320388812614
P_FINE,15,3.2,protrusion,plateau,0.0027684003491772,0.0035966233824436,0.0009682774726427,0.0048131851183306,2.9828706983184183,0.9588516633015084,2.4657480052615424,0.0374320388812614
