condition,window,n_delta,sampling_mse_min,sampling_mse_max,fusion_mse_min,fusion_mse_max,total_mse_min,total_mse_max,total_mse_at_delta_min,total_mse_at_delta_max,focus_agreement_min,focus_agreement_max,axial_err_kF_mean_min,axial_err_kF_mean_max,N_eff_min,N_eff_max,R_Z_min,R_Z_max
H_LF,3,320,5.5083377969145376e-05,0.0007999454997265,1.02741138023255e-05,2.3317082978154825e-05,8.553683558706157e-05,0.0007976280041188,8.595852944802955e-05,0.0007976280041188,0.1302690972222222,0.9400520833333332,0.0531138693257646,1.0597318329743215,3.932922957625148,25.2787086309902,0.0003014021796579,0.9926982168944394
H_LF,7,320,5.5083377969145376e-05,0.0007999454997265,6.734316898524453e-06,2.5212552293692105e-05,0.0001098928183004,0.0007924652665929,0.0001106066276683,0.0007924652665929,0.1309625771604938,0.9688146219135804,0.0518341629301269,1.0298963789444349,3.641265421649425,16.51381893910189,0.000485373142015,0.9954541005971916
H_LF,15,320,5.5083377969145376e-05,0.0007999454997265,4.0693604490825226e-06,4.3919842664337184e-05,0.0001416909002,0.0007914360293269,0.0001424114679946,0.0007913309666695,0.1181529706790123,0.9579157021604938,0.0821773584184958,1.0229084905939183,2.819875394589188,12.131879849077476,0.0008284734969826,0.9964795563113744
H_COARSE,3,320,5.558119004188565e-05,0.0009595825292681,4.3186315621824005e-06,2.1347370901558423e-05,8.527019052943315e-05,0.0009514344102194,8.599579151935046e-05,0.0009514344102194,0.1350053047839506,0.9575139853395062,0.044556398996269,0.998687269626788,3.9873593360319366,25.12877842797238,6.37832991290388e-05,0.9927380083979356
H_COARSE,7,320,5.558119004188565e-05,0.0009595825292681,3.2283022647616154e-06,2.543308175089551e-05,0.0001109445984262,0.0009475804031905,0.0001116018971012,0.0009475804031905,0.1316285686728395,0.9714409722222224,0.050936903178012,0.9894801129895672,3.675832987684217,16.763251104580775,0.0001195677401779,0.9954109450840396
H_COARSE,15,320,5.558119004188565e-05,0.0009595825292681,2.783782057358261e-06,4.312844775817383e-05,0.0001445544474439,0.0009469338270476,0.0001451874424835,0.0009469338270476,0.1189183063271605,0.967914737654321,0.0836360867230594,0.9960590360204068,2.8097256045984604,12.151522125102236,0.0002574442038568,0.9964922277096148
H_MIXED,3,320,5.621785991170924e-05,0.0011501921671347,2.9815055361547533e-06,2.224896868356901e-05,8.463999728435236e-05,0.0011405854921398,8.504752510275804e-05,0.0011405854921398,0.1373476080246913,0.97203125,0.0354883271665831,1.000576849393547,3.996075465385303,25.571662495426995,2.384496635898792e-05,0.9927218673033572
H_MIXED,7,320,5.621785991170924e-05,0.0011501921671347,2.461755831722699e-06,2.3970505535573624e-05,0.0001104364420246,0.0011368995515413,0.0001105970941029,0.0011367724110373,0.1317713155864197,0.9770809220679012,0.0445497213377798,0.9982055506526284,3.6929528823643576,17.15211483480998,4.772542598030505e-05,0.9953895719321294
H_MIXED,15,320,5.621785991170924e-05,0.0011501921671347,2.267955698037887e-06,4.08926070823156e-05,0.0001429191637332,0.0011366518564319,0.0001429191637332,0.0011363208109881,0.1196156442901234,0.9743378665123456,0.0689565371524936,1.0079140124077357,2.828958179880748,12.52549131706508,0.0001137029445911,0.9964682170038942
H_FINE,3,320,5.662441896896279e-05,0.0013624076103847,2.017689250909421e-06,1.710207695920888e-05,8.190243147375664e-05,0.001356141863334,8.190243147375664e-05,0.001356141863334,0.1389670138888888,0.9772159529320988,0.0263656834761736,1.0294390318877678,3.996004106820678,25.260073638972575,2.1205505688737247e-05,0.9929842128428636
