delta,model,regime,E,M
0.001,CW,LF,0.9999997689509877,0.0004620979281055733
0.002,CW,LF,0.9999990758045278,0.0009241947031905632
0.0029999999999999996,CW,LF,0.9999979205623499,0.001386289172219917
0.003999999999999999,CW,LF,0.9999963032273363,0.001848380181890895
0.004999999999999999,CW,LF,0.9999942238035233,0.0023104665793713054
0.005999999999999999,CW,LF,0.9999916822960996,0.0027725472114660645
0.006999999999999998,CW,LF,0.9999886787114067,0.0032346209252555624
0.007999999999999998,CW,LF,0.9999852130569394,0.003696686567778538
0.008999999999999998,CW,LF,0.9999812853413457,0.004158742986050857
0.009999999999999998,CW,LF,0.9999768955744263,0.0046207890272628995
0.011,CW,LF,0.9999720437671344,0.005082823538579052
0.011999999999999997,CW,LF,0.9999667299315768,0.005544845367187046
0.012999999999999998,CW,LF,0.9999609540810119,0.006006853360394404
0.013999999999999999,CW,LF,0.999954716229852,0.006468846365583166
0.014999999999999996,CW,LF,0.9999480163936609,0.006930823230146579
0.015999999999999997,CW,LF,0.9999408545891558,0.007392782801625845
0.016999999999999998,CW,LF,0.9999332308342063,0.007854723927622254
0.018,CW,LF,0.9999251451478331,0.008316645455804003
0.018999999999999996,CW,LF,0.9999165975502113,0.00877854623399618
0.019999999999999997,CW,LF,0.9999075880626661,0.009240425110056806
0.020999999999999998,CW,LF,0.9998981167076756,0.009702280931962575
0.021999999999999995,CW,LF,0.9998881835088707,0.010164112547889867
0.022999999999999996,CW,LF,0.9998777884910326,0.010625918806038932
0.023999999999999997,CW,LF,0.9998669316800951,0.01108769855474719
0.024999999999999994,CW,LF,0.9998556131031435,0.011549450642534752
0.025999999999999995,CW,LF,0.9998438327884142,0.012011173918018422
0.026999999999999996,CW,LF,0.9998315907652952,0.012472867229958636
0.027999999999999997,CW,LF,0.9998188870643255,0.012934529427288224
0.028999999999999995,CW,LF,0.9998057217171955,0.013396159359059938
0.029999999999999995,CW,LF,0.9997920947567464,0.013857755874529278
0.030999999999999996,CW,LF,0.9997780062169691,0.014319317823067591
0.031999999999999994,CW,LF,0.9997634561330059,0.014780844054247812
0.032999999999999995,CW,LF,0.9997484445411496,0.015242333417831247
0.033999999999999996,CW,LF,0.9997329714788428,0.01570378476372131
0.034999999999999996,CW,LF,0.9997170369846783,0.016165196942054105
0.036,CW,LF,0.9997006410983977,0.016626568803111273
0.03699999999999999,CW,LF,0.9996837838608943,0.017087899197429143
0.03799999999999999,CW,LF,0.9996664653142083,0.017549186975700515
0.03899999999999999,CW,LF,0.9996486855015312,0.018010430988860272
0.039999999999999994,CW,LF,0.9996304444672017,0.01847163008803841
0.040999999999999995,CW,LF,0.9996117422567091,0.01893278312461905
0.041999999999999996,CW,LF,0.9995925789166896,0.0193938889501708
0.04299999999999999,CW,LF,0.9995729544949287,0.019854946416531967
